datetime,Total Power Output (MW),Energy Consumption (MW),Power Generated >90(MW),Power Generated <10(MW),Total Redundancy(MW)
2023-01-03,239.350879345,236.86948201,0.0,2.481397335,2.481397335
2023-01-04,457.56132317000004,457.56132317000004,0.0,0.0,0.0
2023-01-05,191.23557510900002,180.83650027000002,0.0,10.399074839,10.399074839
2023-01-06,693.03677707,670.18340583,22.853371239999987,0.0,22.853371239999987
2023-01-07,762.20956612,696.30803891,65.90152721,0.0,65.90152721
2023-01-08,767.73074089,697.18125594,70.54948495000001,0.0,70.54948495000001
2023-01-09,743.94801311,694.66125867,49.28675444000001,0.0,49.28675444000001
2023-01-10,654.11887533,653.42775966,0.6911156700000021,0.0,0.6911156700000021
2023-01-11,214.437502693,207.97030588,0.0,6.467196812999999,6.467196812999999
2023-01-12,297.415968127,293.057686304,0.0,4.3582818229999996,4.3582818229999996
2023-01-13,170.362513126,166.94839647999999,0.0,3.414116646,3.414116646
2023-01-14,444.246123704,438.38227259999996,0.0,5.863851104,5.863851104
2023-01-15,661.70289732,660.7033917,0.9995056200000079,0.0,0.9995056200000079
2023-01-16,820.74895838,711.31103734,109.43792103999999,0.0,109.43792103999999
2023-01-17,809.16587466,715.71720783,93.44866683000001,0.0,93.44866683000001
2023-01-18,768.12714033,705.44583349,62.68130684000002,0.0,62.68130684000002
2023-01-19,352.31732026,352.31732026,0.0,0.0,0.0
2023-01-20,447.786117049,443.8039103,0.6285084200000028,3.3536983289999998,3.9822067490000026
2023-01-21,258.481524566,253.64977215,0.0,4.8317524160000005,4.8317524160000005
2023-01-22,321.428278217,316.47752734,0.0,4.950750877,4.950750877
2023-01-23,497.039476847,496.777286718,0.0,0.262190129,0.262190129
2023-01-24,884.15744194,731.03268627,152.67761720000001,0.44713846999999995,153.12475567
2023-01-25,572.818166582,545.669029,27.07593660000002,0.073200982,27.14913758200002
2023-01-26,378.693980916,378.341080928,0.0,0.352899988,0.352899988
2023-01-27,860.832643858,732.9891364,127.16715089999998,0.6763565579999999,127.84350745799998
2023-01-28,289.22499474,289.22499474,0.0,0.0,0.0
2023-01-29,609.692988651,574.455487881,35.23750077,0.0,35.23750077
2023-01-30,372.511687928,372.511687928,0.0,0.0,0.0
2023-01-31,229.950413871,229.950413871,0.0,0.0,0.0
2023-02-01,465.737868962,465.39886433,0.0,0.339004632,0.339004632
2023-02-02,468.012371177,467.14566857,0.0,0.866702607,0.866702607
2023-02-03,676.002194375,617.7300454800001,55.59386828999999,2.678280605,58.27214889499999
2023-02-04,368.211779245,367.827012552,0.0,0.38476669300000005,0.38476669300000005
2023-02-05,301.612149032,301.4150894,0.0,0.197059632,0.197059632
2023-02-06,666.424888801,594.312430901,72.11245790000001,0.0,72.11245790000001
2023-02-07,715.375003114,692.47657557,19.385230370000002,3.513197174,22.898427544
2023-02-08,913.753581538,749.461229888,164.29235165,0.0,164.29235165
2023-02-09,267.245813421,266.47642339,0.0,0.7693900309999999,0.7693900309999999
2023-02-10,960.072529918,769.35562211,190.4653365,0.251571308,190.716907808
2023-02-11,879.953110969,730.98618431,142.91511787999997,6.051808779,148.96692665899997
2023-02-12,1044.847486628,782.77038749,261.1470792,0.9300199379999999,262.077099138
2023-02-13,491.705238951,490.01762445,0.0,1.6876145009999999,1.6876145009999999
2023-02-14,205.64462034800002,204.744739441,0.0,0.899880907,0.899880907
2023-02-15,374.375366185,372.17497877,0.0,2.2003874150000002,2.2003874150000002
2023-02-16,314.754786515,312.27197499,0.0,2.4828115250000002,2.4828115250000002
2023-02-17,868.3833873010001,704.93701067,163.26797502000002,0.17840161100000002,163.44637663100002
2023-02-18,1014.2587229019999,764.48084094,246.5950494,3.1828325619999998,249.77788196199998
2023-02-19,501.50925240799995,498.71342549999997,0.0,2.795826908,2.795826908
2023-02-20,344.62327970900003,342.57859389000004,0.0,2.0446858189999997,2.0446858189999997
2023-02-21,777.25666325,613.2264782,156.83416920000002,7.196015849999999,164.03018505
2023-02-22,744.539683785,641.62844164,102.25691570000002,0.6543264449999999,102.91124214500002
2023-02-23,1195.11057471,838.40334911,356.7072256,0.0,356.7072256
2023-02-24,603.435337422,554.90686529,43.22756008,5.300912051999999,48.528472132000005
2023-02-25,332.98287158799997,328.94709024499997,0.0,4.035781343,4.035781343
2023-02-26,826.287146286,656.56981975,169.3427909,0.374535636,169.71732653600003
2023-02-27,779.8490504600001,676.6386283,103.21042216,0.0,103.21042216
2023-02-28,738.473716113,665.40489893,71.38741208,1.681405103,73.06881718300001
2023-03-01,1209.98723473,849.88272547,360.10450926,0.0,360.10450926
2023-03-02,1028.00948943,786.37313463,241.6363548,0.0,241.6363548
2023-03-03,916.2223562959999,695.33163795,217.97050555999994,2.920212786,220.89071834599994
2023-03-04,1330.14151412,875.66357892,454.47793519999993,0.0,454.47793519999993
2023-03-05,549.839801432,546.39820041,0.0,3.441601022,3.441601022
2023-03-06,259.387614666,253.7630532,0.0,5.624561466,5.624561466
2023-03-07,413.338491112,405.14235378,0.0,8.196137332,8.196137332
2023-03-08,463.715853898,459.034560393,0.0,4.681293505,4.681293505
2023-03-09,586.15212167,586.15212167,0.0,0.0,0.0
2023-03-10,516.782225288,513.93468262,0.0,2.847542668,2.847542668
2023-03-11,496.160022119,485.63189384000003,0.0,10.528128279,10.528128279
2023-03-12,329.34742213100003,329.34742213100003,0.0,0.0,0.0
2023-03-13,1437.44585005,905.23060655,532.2152435,0.0,532.2152435
2023-03-14,809.41802127,807.30937901,2.1086422600000105,0.0,2.1086422600000105
2023-03-15,881.7932262,762.1496146,119.64361160000003,0.0,119.64361160000003
2023-03-16,1068.90702603,859.51399668,209.39302935,0.0,209.39302935
2023-03-17,658.06385438,658.06385438,0.0,0.0,0.0
2023-03-18,1180.69323871,846.88970564,333.80353307,0.0,333.80353307
2023-03-19,391.53645679,391.53645679,0.0,0.0,0.0
2023-03-20,1025.08411808,866.16981476,158.91430332,0.0,158.91430332
2023-03-21,1370.147702005,882.21253273,487.6072194,0.327949875,487.935169275
2023-03-22,777.27229921,723.720183152,53.47824953,0.073866528,53.552116057999996
2023-03-23,510.394260403,505.59766333299996,4.79659706999999,0.0,4.79659706999999
2023-03-24,651.996871116,637.437638526,14.559232589999993,0.0,14.559232589999993
2023-03-25,875.772734307,696.52299012,178.8370315,0.41271268699999997,179.249744187
2023-03-26,1398.693792466,904.54848828,493.50793497000006,0.637369216,494.14530418600003
2023-03-27,1480.959571354,931.61693107,548.1657634,1.176876884,549.342640284
2023-03-28,804.800788393,726.7219895,77.83846702999999,0.240331863,78.078798893
2023-03-29,1564.702877828,942.83407964,620.1970544999999,1.6717436879999998,621.868798188
2023-03-30,1573.175340324,943.59444131,627.3887211,2.192177914,629.580899014
2023-03-31,1499.152666022,940.57884474,555.9594069,2.614414382,558.5738212819999
2023-04-01,910.3594386589999,741.175663227,168.06719577999996,1.116579652,169.18377543199998
2023-04-02,1350.721462878,920.9988742,427.38589440000004,2.336694278,429.722588678
2023-04-03,1381.955049959,945.48119385,433.6726188,2.801237309,436.473856109
2023-04-04,1527.5543849,950.29862363,570.3204112,6.93535007,577.25576127
2023-04-05,1554.595317197,951.84329586,595.0623818,7.689639537000001,602.752021337
2023-04-06,719.15357029,675.4871531800001,38.841189009999994,4.8252281,43.66641711
2023-04-07,726.514319856,689.088571844,34.787572409999996,2.6381756020000005,37.425748012
2023-04-08,401.005451468,400.030222874,0.0,0.975228594,0.975228594
2023-04-09,511.057987551,507.06650297,0.0,3.991484581,3.991484581
2023-04-10,1613.575523964,977.72140949,632.1092379,3.744876574,635.8541144740001
2023-04-11,747.55972557,659.1182931,83.2885801,5.15285237,88.44143247000001
2023-04-12,1118.996018989,788.622035287,329.82687176,0.547111942,330.37398370200003
2023-04-13,1136.6696362,940.35558212,195.14768346,1.1663706200000001,196.31405407999998
2023-04-14,589.1935971089999,586.13247261,0.0,3.061124499,3.061124499
2023-04-15,1484.8261803569999,990.38446147,489.70750406999997,4.734214817,494.441718887
2023-04-16,347.627663887,346.015207688,0.0,1.6124561990000001,1.6124561990000001
2023-04-17,1292.1807885859998,882.70740275,407.9580979,1.515287936,409.473385836
2023-04-18,1589.371501502,993.26231174,590.21281193,5.896377832000001,596.109189762
2023-04-19,1636.083554886,1014.456077076,621.6274778100001,0.0,621.6274778100001
2023-04-20,1096.698971007,908.8534551500001,185.72677763000002,2.118738227,187.845515857
2023-04-21,1638.43900211,1015.38075938,623.0582427300001,0.0,623.0582427300001
2023-04-22,1628.56715065,1016.83565525,611.7314954,0.0,611.7314954
2023-04-23,802.750551873,761.6529758199999,38.84997845000001,2.247597603,41.09757605300001
2023-04-24,827.212239114,782.79672331,36.496750129999995,7.918765673999999,44.415515803999995
2023-04-25,465.785567085,458.75331752,0.0,7.032249565000001,7.032249565000001
2023-04-26,1618.11799843,1011.01198533,607.1060131,0.0,607.1060131
2023-04-27,990.460767384,710.06311415,279.32447089999994,1.073182334,280.39765323399996
2023-04-28,1656.4131497659998,998.96200063,652.0915354,5.359613735999999,657.4511491359999
2023-04-29,1290.548660641,928.826916341,361.7217443,0.0,361.7217443
2023-04-30,1480.5502752,1017.05899438,463.49128082,0.0,463.49128082
